"","RK","TEAM","GMS","TOTAL","AVG","PCT"
"1","1","Bulls","41","888,882","21,680","103.6"
"2","2","Cavaliers","41","843,042","20,562","100.0"
"3","3","Raptors","41","813,050","19,830","100.2"
"4","4","Mavericks","41","811,366","19,789","103.1"
"5","5","NY Knicks","41","810,741","19,774","99.8"
"6","6","Jazz","41","806,605","19,673","98.8"
"7","7","Heat","41","805,400","19,643","100.2"
"8","8","Warriors","41","803,436","19,596","100.0"
"9","9","Trail Blazers","41","792,029","19,317","99.4"
"10","10","Clippers","41","782,609","19,088","100.1"
"11","11","Lakers","41","776,917","18,949","99.4"
"12","12","Celtics","41","760,690","18,553","99.6"
"13","13","Spurs","41","755,347","18,423","99.2"
"14","14","Thunder","41","746,323","18,203","100.0"
"15","15","Magic","41","727,875","17,753","94.2"
"16","16","Kings","41","721,928","17,608","100.6"
"17","17","Hornets","41","710,643","17,332","90.9"
"18","18","76ers","41","710,557","17,330","85.3"
"19","19","Suns","41","708,639","17,283","93.8"
"20","20","Wizards","41","697,107","17,002","83.8"
"21","21","Rockets","41","695,903","16,973","94.1"
"22","22","Pacers","41","684,578","16,697","91.9"
"23","23","Grizzlies","41","677,314","16,519","91.2"
"24","24","Pelicans","41","663,099","16,173","94.1"
"25","25","Pistons","41","655,141","15,979","72.4"
"26","26","Hawks","41","654,306","15,958","85.2"
"27","27","Bucks","41","648,952","15,828","84.6"
"28","28","Nets","41","632,608","15,429","85.2"
"29","29","Timberwolves","41","607,203","14,809","76.5"
"30","30","Nuggets","41","605,585","14,770","77.1"
