"","X","TEAM","Year","Revenue"
"1",1,"Hawks",2011-05-08,"$109 "
"2",1,"Hawks",2012-05-08,"$99 "
"3",1,"Hawks",2013-05-08,"$119 "
"4",1,"Hawks",2014-05-08,"$133 "
"5",1,"Hawks",2015-05-08,"$142 "
"6",1,"Hawks",2016-05-08,"$169 "
"7",1,"Hawks",2017-05-08,"$209 "
"8",1,"Hawks",2018-05-08,"$215 "
"9",1,"Hawks",2019-05-08,"$251 "
"10",2,"Celtics",2011-05-08,"$146 "
"11",2,"Celtics",2012-05-08,"$143 "
"12",2,"Celtics",2013-05-08,"$169 "
"13",2,"Celtics",2014-05-08,"$173 "
"14",2,"Celtics",2015-05-08,"$181 "
"15",2,"Celtics",2016-05-08,"$200 "
"16",2,"Celtics",2017-05-08,"$257 "
"17",2,"Celtics",2018-05-08,"$287 "
"18",2,"Celtics",2019-05-08,"$304 "
"19",3,"Nets",2011-05-08,"$89 "
"20",3,"Nets",2012-05-08,"$84 "
"21",3,"Nets",2013-05-08,"$190 "
"22",3,"Nets",2014-05-08,"$212 "
"23",3,"Nets",2015-05-08,"$220 "
"24",3,"Nets",2016-05-08,"$223 "
"25",3,"Nets",2017-05-08,"$273 "
"26",3,"Nets",2018-05-08,"$290 "
"27",3,"Nets",2019-05-08,"$304 "
"28",4,"Hornets",2011-05-08,"$101 "
"29",4,"Hornets",2012-05-08,"$93 "
"30",4,"Hornets",2013-05-08,"$115 "
"31",4,"Hornets",2014-05-08,"$130 "
"32",4,"Hornets",2015-05-08,"$142 "
"33",4,"Hornets",2016-05-08,"$158 "
"34",4,"Hornets",2017-05-08,"$202 "
"35",4,"Hornets",2018-05-08,"$213 "
"36",4,"Hornets",2019-05-08,"$240 "
"37",5,"Bulls",2011-05-08,"$185 "
"38",5,"Bulls",2012-05-08,"$162 "
"39",5,"Bulls",2013-05-08,"$195 "
"40",5,"Bulls",2014-05-08,"$201 "
"41",5,"Bulls",2015-05-08,"$228 "
"42",5,"Bulls",2016-05-08,"$232 "
"43",5,"Bulls",2017-05-08,"$281 "
"44",5,"Bulls",2018-05-08,"$287 "
"45",5,"Bulls",2019-05-08,"$301 "
"46",6,"Cavaliers",2011-05-08,"$149 "
"47",6,"Cavaliers",2012-05-08,"$128 "
"48",6,"Cavaliers",2013-05-08,"$145 "
"49",6,"Cavaliers",2014-05-08,"$149 "
"50",6,"Cavaliers",2015-05-08,"$191 "
"51",6,"Cavaliers",2016-05-08,"$233 "
"52",6,"Cavaliers",2017-05-08,"$280 "
"53",6,"Cavaliers",2018-05-08,"$302 "
"54",6,"Cavaliers",2019-05-08,"$300 "
"55",7,"Mavericks",2011-05-08,"$166 "
"56",7,"Mavericks",2012-05-08,"$137 "
"57",7,"Mavericks",2013-05-08,"$162 "
"58",7,"Mavericks",2014-05-08,"$168 "
"59",7,"Mavericks",2015-05-08,"$177 "
"60",7,"Mavericks",2016-05-08,"$194 "
"61",7,"Mavericks",2017-05-08,"$233 "
"62",7,"Mavericks",2018-05-08,"$287 "
"63",7,"Mavericks",2019-05-08,"$307 "
"64",8,"Nuggets",2011-05-08,"$113 "
"65",8,"Nuggets",2012-05-08,"$110 "
"66",8,"Nuggets",2013-05-08,"$124 "
"67",8,"Nuggets",2014-05-08,"$136 "
"68",8,"Nuggets",2015-05-08,"$140 "
"69",8,"Nuggets",2016-05-08,"$157 "
"70",8,"Nuggets",2017-05-08,"$202 "
"71",8,"Nuggets",2018-05-08,"$222 "
"72",8,"Nuggets",2019-05-08,"$252 "
"73",9,"Pistons",2011-05-08,"$141 "
"74",9,"Pistons",2012-05-08,"$125 "
"75",9,"Pistons",2013-05-08,"$139 "
"76",9,"Pistons",2014-05-08,"$144 "
"77",9,"Pistons",2015-05-08,"$154 "
"78",9,"Pistons",2016-05-08,"$172 "
"79",9,"Pistons",2017-05-08,"$221 "
"80",9,"Pistons",2018-05-08,"$235 "
"81",9,"Pistons",2019-05-08,"$255 "
"82",10,"Warriors",2011-05-08,"$139 "
"83",10,"Warriors",2012-05-08,"$127 "
"84",10,"Warriors",2013-05-08,"$160 "
"85",10,"Warriors",2014-05-08,"$168 "
"86",10,"Warriors",2015-05-08,"$201 "
"87",10,"Warriors",2016-05-08,"$305 "
"88",10,"Warriors",2017-05-08,"$359 "
"89",10,"Warriors",2018-05-08,"$401 "
"90",10,"Warriors",2019-05-08,"$440 "
"91",11,"Rockets",2011-05-08,"$150 "
"92",11,"Rockets",2012-05-08,"$135 "
"93",11,"Rockets",2013-05-08,"$191 "
"94",11,"Rockets",2014-05-08,"$175 "
"95",11,"Rockets",2015-05-08,"$237 "
"96",11,"Rockets",2016-05-08,"$244 "
"97",11,"Rockets",2017-05-08,"$296 "
"98",11,"Rockets",2018-05-08,"$326 "
"99",11,"Rockets",2019-05-08,"$348 "
"100",12,"Pacers",2011-05-08,"$101 "
"101",12,"Pacers",2012-05-08,"$98 "
"102",12,"Pacers",2013-05-08,"$121 "
"103",12,"Pacers",2014-05-08,"$139 "
"104",12,"Pacers",2015-05-08,"$138 "
"105",12,"Pacers",2016-05-08,"$157 "
"106",12,"Pacers",2017-05-08,"$205 "
"107",12,"Pacers",2018-05-08,"$222 "
"108",12,"Pacers",2019-05-08,"$243 "
"109",13,"Clippers",2011-05-08,"$108 "
"110",13,"Clippers",2012-05-08,"$108 "
"111",13,"Clippers",2013-05-08,"$128 "
"112",13,"Clippers",2014-05-08,"$146 "
"113",13,"Clippers",2015-05-08,"$176 "
"114",13,"Clippers",2016-05-08,"$185 "
"115",13,"Clippers",2017-05-08,"$257 "
"116",13,"Clippers",2018-05-08,"$258 "
"117",13,"Clippers",2019-05-08,"$282 "
"118",14,"Lakers",2011-05-08,"$208 "
"119",14,"Lakers",2012-05-08,"$197 "
"120",14,"Lakers",2013-05-08,"$295 "
"121",14,"Lakers",2014-05-08,"$293 "
"122",14,"Lakers",2015-05-08,"$304 "
"123",14,"Lakers",2016-05-08,"$333 "
"124",14,"Lakers",2017-05-08,"$371 "
"125",14,"Lakers",2018-05-08,"$395 "
"126",14,"Lakers",2019-05-08,"$434 "
"127",15,"Grizzlies",2011-05-08,"$99 "
"128",15,"Grizzlies",2012-05-08,"$96 "
"129",15,"Grizzlies",2013-05-08,"$126 "
"130",15,"Grizzlies",2014-05-08,"$135 "
"131",15,"Grizzlies",2015-05-08,"$147 "
"132",15,"Grizzlies",2016-05-08,"$155 "
"133",15,"Grizzlies",2017-05-08,"$206 "
"134",15,"Grizzlies",2018-05-08,"$213 "
"135",15,"Grizzlies",2019-05-08,"$224 "
"136",16,"Heat",2011-05-08,"$158 "
"137",16,"Heat",2012-05-08,"$150 "
"138",16,"Heat",2013-05-08,"$188 "
"139",16,"Heat",2014-05-08,"$188 "
"140",16,"Heat",2015-05-08,"$180 "
"141",16,"Heat",2016-05-08,"$210 "
"142",16,"Heat",2017-05-08,"$253 "
"143",16,"Heat",2018-05-08,"$259 "
"144",16,"Heat",2019-05-08,"$294 "
"145",17,"Bucks",2011-05-08,"$92 "
"146",17,"Bucks",2012-05-08,"$78 "
"147",17,"Bucks",2013-05-08,"$109 "
"148",17,"Bucks",2014-05-08,"$110 "
"149",17,"Bucks",2015-05-08,"$126 "
"150",17,"Bucks",2016-05-08,"$146 "
"151",17,"Bucks",2017-05-08,"$179 "
"152",17,"Bucks",2018-05-08,"$204 "
"153",17,"Bucks",2019-05-08,"$283 "
"154",18,"Timberwolves",2011-05-08,"$97 "
"155",18,"Timberwolves",2012-05-08,"$96 "
"156",18,"Timberwolves",2013-05-08,"$116 "
"157",18,"Timberwolves",2014-05-08,"$128 "
"158",18,"Timberwolves",2015-05-08,"$146 "
"159",18,"Timberwolves",2016-05-08,"$154 "
"160",18,"Timberwolves",2017-05-08,"$204 "
"161",18,"Timberwolves",2018-05-08,"$223 "
"162",18,"Timberwolves",2019-05-08,"$234 "
"163",19,"Pelicans",2011-05-08,"$109 "
"164",19,"Pelicans",2012-05-08,"$100 "
"165",19,"Pelicans",2013-05-08,"$116 "
"166",19,"Pelicans",2014-05-08,"$131 "
"167",19,"Pelicans",2015-05-08,"$142 "
"168",19,"Pelicans",2016-05-08,"$156 "
"169",19,"Pelicans",2017-05-08,"$204 "
"170",19,"Pelicans",2018-05-08,"$214 "
"171",19,"Pelicans",2019-05-08,"$224 "
"172",20,"Knicks",2011-05-08,"$244 "
"173",20,"Knicks",2012-05-08,"$243 "
"174",20,"Knicks",2013-05-08,"$287 "
"175",20,"Knicks",2014-05-08,"$278 "
"176",20,"Knicks",2015-05-08,"$307 "
"177",20,"Knicks",2016-05-08,"$376 "
"178",20,"Knicks",2017-05-08,"$426 "
"179",20,"Knicks",2018-05-08,"$443 "
"180",20,"Knicks",2019-05-08,"$472 "
"181",21,"Thunder",2011-05-08,"$126 "
"182",21,"Thunder",2012-05-08,"$127 "
